starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 26 17:11:16 2022	1669482676	0	7	7	7
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
Sat Nov 26 17:11:16 2022	1669482676	0	9	9	9
